customer_id,total_net_sales,total_profit,total_quantity
1,50250.0,46995.0,15
2,99379.5,85099.5,30
3,146772.0,113697.0,45
4,170731.0,111091.0,60
6,54325.0,31645.0,15
7,95342.0,42212.0,30
8,141034.5,49684.49999999999,45
9,163506.0,137166.0,60
11,52200.0,37845.0,15
12,103084.5,66604.5,30
13,152037.0,85662.0,45
14,177361.0,73321.0,60
16,50075.0,44045.0,15
17,99047.0,79217.0,30
18,129559.5,88159.5,45
19,170136.0,99396.0,60
21,54150.0,28695.0,15
22,106789.5,48109.5,30
23,140562.0,124137.0,45
24,183991.0,146551.0,60
26,52025.0,34895.0,15
27,102752.0,60721.99999999999,30
28,134824.5,60124.49999999999,45
29,176766.0,61626.0,60
31,56100.0,47295.0,15
32,110494.5,85114.5,30
33,145827.0,96102.0,45
34,190621.0,108781.0,60
36,53975.0,25745.0,15
37,94677.0,85947.0,30
38,140089.5,115339.5,45
39,183396.0,134856.0,60
41,58050.0,38145.0,15
42,102419.5,54839.5,30
43,151092.0,68067.0,45
44,197251.0,182011.0,60
46,55925.0,44345.0,15
47,98382.0,67452.0,30
48,145354.5,87304.5,45
49,190026.0,97086.0,60
51,53800.0,50545.0,15
52,94344.5,80064.5,30
53,139617.0,106542.0,45
54,161721.0,102081.0,60
56,51675.0,28995.0,15
57,102087.0,48957.0,30
58,150619.5,59269.49999999999,45
59,175576.0,149236.0,60
61,49550.0,35195.0,15
62,98049.5,61569.5,30
63,144882.0,78507.0,45
64,168351.0,64311.0,60
66,53625.0,47595.0,15
67,105792.0,85962.0,30
68,155884.5,114484.5,45
69,182206.0,111466.0,60
71,51500.0,26045.0,15
72,101754.5,43074.5,30
73,133407.0,116982.0,45
74,174981.0,137541.0,60
76,55575.0,38445.0,15
77,109497.0,67467.0,30
78,144409.5,69709.5,45
79,188836.0,73696.0,60
81,53450.0,44645.0,15
82,105459.5,80079.5,30
83,138672.0,88947.0,45
84,181611.0,99771.0,60
86,57525.0,29295.0,15
87,113202.0,104472.0,30
88,149674.5,124924.5,45
89,195466.0,146926.0,60
91,55400.0,35495.0,15
92,97384.5,49804.5,30
93,143937.0,60911.99999999999,45
94,188241.0,173001.0,60
96,53275.0,41695.0,15
97,93347.0,62417.0,30
98,138199.5,80149.5,45
99,159936.0,66996.0,60
